Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2149.0359500000004
FDW14,OUT017,1507.30462
NCN55,OUT010,639.66735
FDQ58,OUT017,2723.6546400000007
FDY38,OUT027,4037.6442300000003
FDH56,OUT046,2179.0968199999998
FDL48,OUT018,2256.56265
FDC48,OUT027,2203.2653600000003
FDN33,OUT045,1716.4989799999998
FDA36,OUT017,2303.30181
FDT44,OUT017,2011.1820599999996
FDQ56,OUT045,1524.61542
NCC54,OUT019,464.72839999999997
FDU11,OUT049,2221.30854
DRL59,OUT013,1720.26075
FDM24,OUT049,2392.41914
FDI57,OUT045,2630.74225
DRC12,OUT018,2522.54975
NCM42,OUT027,3052.72629
FDA46,OUT010,463.3968000000001
FDA31,OUT013,2825.22243
NCJ31,OUT035,2558.30321
FDG52,OUT046,1497.2510399999999
NCL19,OUT019,341.05605
FDS10,OUT035,3489.8905700000005
FDX22,OUT010,404.87298
NCF19,OUT035,1626.91559
NCE06,OUT046,2197.4728999999998
DRC27,OUT046,2559.9344200000005
FDE21,OUT035,2048.7664699999996
NCR42,OUT019,254.86824000000007
FDX51,OUT018,2362.85762
NCR06,OUT018,1245.41219
FDU31,OUT027,5434.093150000001
FDU59,OUT017,2194.5766700000004
FDR03,OUT027,4022.46399
FDS49,OUT027,3245.40881
FDD48,OUT010,274.84224000000006
NCF18,OUT017,3531.63623
NCD43,OUT027,2951.12521
NCD54,OUT018,1695.7593100000001
FDY19,OUT010,265.48774999999995
NCY54,OUT017,2622.8525199999995
NCL19,OUT018,1699.82069
FDP23,OUT010,508.2717200000001
FDC26,OUT013,2400.30887
FDR14,OUT010,317.02067
NCS41,OUT035,3018.5707500000003
FDF41,OUT035,2378.4706300000003
FDU34,OUT046,2242.21466
DRH11,OUT046,1637.1023300000002
FDM03,OUT013,2267.7148
FDS31,OUT017,2887.30828
FDJ20,OUT017,2498.31463
FDV44,OUT027,4895.36108
FDG02,OUT049,1967.0062300000002
FDA09,OUT013,2574.0826700000002
FDT04,OUT013,1116.18041
FDL58,OUT019,324.17802
FDE52,OUT045,1500.0141099999996
FDW12,OUT035,2201.56757
FDL51,OUT017,3742.76141
NCY42,OUT027,3533.36731
FDR07,OUT017,1801.0555799999997
FDN40,OUT045,2062.18234
FDB35,OUT027,2577.87773
FDA22,OUT017,2415.3226600000007
NCL06,OUT046,2535.1333699999996
FDI35,OUT013,3301.4358799999995
NCW42,OUT045,3351.8702300000004
NCX06,OUT049,2970.76631
FDC37,OUT027,2489.0933000000005
FDZ14,OUT018,2017.4738700000003
DRG49,OUT049,2684.2392800000002
NCG06,OUT045,3184.65456
DRC36,OUT045,1560.50204
FDV21,OUT019,362.26178
FDB53,OUT046,2154.7951199999998
DRP47,OUT019,570.42415
FDA14,OUT013,2253.1670700000004
DRC24,OUT035,2142.3446599999997
FDW21,OUT018,1866.03766
NCH29,OUT046,2108.4887300000005
FDU58,OUT013,2352.6375900000003
FDY27,OUT017,2589.32949
FDV56,OUT035,2105.75895
FDT59,OUT046,3654.9091
FDB23,OUT046,3197.8706899999997
FDR49,OUT045,1451.0778099999998
FDB03,OUT010,410.2992499999999
FDN39,OUT045,2738.53527
FDX02,OUT027,4875.81985
FDQ16,OUT027,2332.49714
FDU35,OUT018,2031.78857
NCT29,OUT013,1354.53681
FDZ27,OUT046,1540.0952699999998
FDN57,OUT017,2649.98387
FDA03,OUT018,2225.36992
FDZ36,OUT045,3202.498
NCU05,OUT013,1244.31362
FDT39,OUT018,2176.96626
FDK60,OUT017,1839.7385600000002
FDZ25,OUT017,2675.21769
FDG12,OUT046,2282.4955600000003
DRB01,OUT019,327.83992
NCC43,OUT027,5874.41998
FDX13,OUT019,522.45326
FDM22,OUT049,1573.35198
FDJ03,OUT027,3628.9428999999996
FDU14,OUT018,2518.22205
FDB33,OUT010,321.2485
FDP27,OUT046,3050.22954
FDO38,OUT010,197.20996
FDE28,OUT027,4216.97746
FDO27,OUT035,2423.41213
DRL23,OUT027,3056.9874099999997
FDS28,OUT046,1683.9746499999997
FDX24,OUT013,1755.28183
FDZ02,OUT035,2529.87355
FDL46,OUT045,2004.9568299999999
FDS60,OUT027,2957.0841199999995
NCO06,OUT017,1046.83734
FDO16,OUT035,2068.1079600000003
FDC60,OUT049,2264.7519899999998
FDA48,OUT018,1987.3464200000003
FDZ36,OUT027,3930.0176600000004
FDK27,OUT045,1853.28759
FDW23,OUT018,1730.9135499999998
FDM14,OUT018,1639.03315
FDM14,OUT013,2225.0370199999998
FDW60,OUT018,2256.56265
FDE21,OUT013,2216.5480700000003
NCM42,OUT035,1914.9073799999999
FDY59,OUT010,239.35509999999994
DRI49,OUT049,2033.25333
FDT28,OUT019,265.85394
FDQ22,OUT018,1634.73874
FDR60,OUT049,1310.1279499999998
FDC50,OUT019,445.15388
